Filtered by stability with threshold: 0.1
[. как ожидаюсь ]   count:22  textsCount:21  stability:0.09090909090909091
[, который способен ]   count:22  textsCount:19  stability:0.09090909090909091
[может привести к ]   count:22  textsCount:22  stability:0.09090909090909091
[космический корабль союз ]   count:21  textsCount:19  stability:0.09523809523809523
[. считаюсь , ]   count:21  textsCount:21  stability:0.09523809523809523
[, который позволил ]   count:21  textsCount:21  stability:0.09523809523809523
[. с помощь ]   count:21  textsCount:21  stability:0.09523809523809523
[. в отличие ]   count:21  textsCount:21  stability:0.047619047619047616
[глобальный потепление , ]   count:20  textsCount:20  stability:0.1
[. как отмечаю ]   count:20  textsCount:19  stability:0.1
[, который являюсь ]   count:20  textsCount:19  stability:0.1
[, расположенный на ]   count:20  textsCount:20  stability:0.05
[, пишу газета ]   count:20  textsCount:20  stability:0.1
[. после того ]   count:19  textsCount:19  stability:0.05263157894736842
[. возможно , ]   count:18  textsCount:18  stability:0.05555555555555555
[. к такой ]   count:18  textsCount:18  stability:0.05555555555555555
[, который можно ]   count:17  textsCount:17  stability:0.058823529411764705
[, сообщаю cnn ]   count:17  textsCount:17  stability:0.058823529411764705
[, и , ]   count:17  textsCount:17  stability:0.058823529411764705
[. известно , ]   count:17  textsCount:17  stability:0.058823529411764705
[. учёный полагаю ]   count:17  textsCount:15  stability:0.058823529411764705
[, считаю учёный ]   count:17  textsCount:17  stability:0.058823529411764705
[, который быль ]   count:17  textsCount:17  stability:0.058823529411764705
[. в ближайший ]   count:16  textsCount:16  stability:0.0625
[, считаю , ]   count:16  textsCount:16  stability:0.0625
[, то в ]   count:16  textsCount:16  stability:0.0625
[, передаю reuters ]   count:16  textsCount:16  stability:0.0625
[, необходимый для ]   count:16  textsCount:15  stability:0.0625
[. в то ]   count:16  textsCount:16  stability:0.0625
[. в конец ]   count:16  textsCount:16  stability:0.0625
[. в прошлое ]   count:16  textsCount:16  stability:0.0625
[, что и ]   count:15  textsCount:15  stability:0.06666666666666667
[, но не ]   count:15  textsCount:15  stability:0.06666666666666667
[. ранее сообщаюсь ]   count:15  textsCount:15  stability:0.06666666666666667
[, сообщаю new ]   count:15  textsCount:15  stability:0.06666666666666667
[. в четверг ]   count:14  textsCount:14  stability:0.07142857142857142
[. это есть ]   count:14  textsCount:13  stability:0.07142857142857142
[в течение несколько ]   count:14  textsCount:14  stability:0.07142857142857142
[. весь в ]   count:14  textsCount:14  stability:0.07142857142857142
[. ещё один ]   count:14  textsCount:14  stability:0.07142857142857142
[. в последний ]   count:14  textsCount:13  stability:0.07142857142857142
[. в соответствие ]   count:14  textsCount:14  stability:0.07142857142857142
[, показал , ]   count:14  textsCount:14  stability:0.07142857142857142
[, потому что ]   count:14  textsCount:14  stability:0.07142857142857142
[. по сообщение ]   count:14  textsCount:14  stability:0.07142857142857142
[, прежде весь ]   count:14  textsCount:14  stability:0.07142857142857142
[, и на ]   count:14  textsCount:14  stability:0.07142857142857142
[, что имя ]   count:14  textsCount:13  stability:0.07142857142857142
[, который также ]   count:14  textsCount:14  stability:0.07142857142857142
[. как известно ]   count:13  textsCount:12  stability:0.07692307692307693
[, добавил он ]   count:13  textsCount:13  stability:0.07692307692307693
[, сообщаю итар ]   count:13  textsCount:13  stability:0.07692307692307693
[. однако учёный ]   count:13  textsCount:13  stability:0.07692307692307693
[. он отметил ]   count:13  textsCount:13  stability:0.07692307692307693
[, который уж ]   count:13  textsCount:13  stability:0.07692307692307693
[. по сведение ]   count:13  textsCount:12  stability:0.07692307692307693
[. как утверждаю ]   count:13  textsCount:13  stability:0.07692307692307693
[в мир , ]   count:13  textsCount:13  stability:0.07692307692307693
[, к который ]   count:13  textsCount:13  stability:0.07692307692307693
[. скорее весь ]   count:12  textsCount:12  stability:0.08333333333333333
[, сообщаю the ]   count:12  textsCount:12  stability:0.08333333333333333
[. в этот ]   count:12  textsCount:12  stability:0.08333333333333333
[, сказал министр ]   count:12  textsCount:8  stability:0.08333333333333333
[в понедельник , ]   count:12  textsCount:11  stability:0.08333333333333333
[из за того ]   count:12  textsCount:12  stability:0.08333333333333333
[, в случай ]   count:12  textsCount:12  stability:0.08333333333333333
[вывел на орбита ]   count:12  textsCount:11  stability:0.08333333333333333
[, который занимаюсь ]   count:12  textsCount:11  stability:0.08333333333333333
