по московский временю с космодром :  count:8  textCnt:8
, на борт который нахожусь :  count:8  textCnt:8
. предполагаюсь , что в :  count:8  textCnt:8
на сайт space . com :  count:8  textCnt:8
, сообщаю reuters . в :  count:8  textCnt:8
сайт space . com . :  count:8  textCnt:8
космодром кура в французский гвиана :  count:8  textCnt:8
год , в течение который :  count:8  textCnt:8
министр оборона россия сергей иван :  count:8  textCnt:8
салижан шарип и лера чиао :  count:7  textCnt:6
. о это сообщаюсь в :  count:7  textCnt:7
и исследование космический пространство nasa :  count:7  textCnt:7
произошёл аварийный остановка двигатель , :  count:7  textCnt:7
сатурн cassini вышел в июль :  count:7  textCnt:7
на орбита сатурн cassini вышел :  count:7  textCnt:7
ступень , произошёл аварийный остановка :  count:7  textCnt:7
передаю риа новость . как :  count:7  textCnt:7
. по её слово , :  count:7  textCnt:7
. в связь с это :  count:7  textCnt:7
. космический аппарат cassini huygens :  count:7  textCnt:7
договор о нераспространение ядерный оружие :  count:7  textCnt:5
в ирак и афганистан . :  count:7  textCnt:6
. на орбита сатурн cassini :  count:7  textCnt:7
аппарат cassini huygens есть запущен :  count:7  textCnt:7
. по слово специалист , :  count:7  textCnt:6
спутник связь молния 3к стартовал :  count:7  textCnt:7
с военный спутник связь молния :  count:7  textCnt:7
молния 3к стартовал с космодром :  count:7  textCnt:7
отделиться второй ступень , произошёл :  count:7  textCnt:7
связь молния 3к стартовал с :  count:7  textCnt:7
как передаю риа новость , :  count:7  textCnt:7
орбита сатурн cassini вышел в :  count:7  textCnt:7
3к стартовал с космодром плесецк :  count:7  textCnt:7
год до наш эра , :  count:7  textCnt:7
космический аппарат cassini huygens есть :  count:7  textCnt:7
, к такой вывод пришёл :  count:7  textCnt:7
cassini вышел в июль 2004 :  count:7  textCnt:7
вышел в июль 2004 год :  count:7  textCnt:7
не вышел на орбита . :  count:7  textCnt:7
колумбия в февраль 2003 год :  count:7  textCnt:7
. о это говорюсь в :  count:7  textCnt:7
тысяча километр в час . :  count:7  textCnt:7
человек , находившийся на борт :  count:7  textCnt:6
есть отделиться второй ступень , :  count:7  textCnt:7
о это заявил в интервью :  count:7  textCnt:7
должен есть отделиться второй ступень :  count:7  textCnt:7
топливо для двигатель ориентация , :  count:7  textCnt:7
, произошёл аварийный остановка двигатель :  count:7  textCnt:7
в котор говорюсь , что :  count:7  textCnt:7
версия о том , что :  count:7  textCnt:7
московский временю в вторник . :  count:7  textCnt:7
. как сообщаю cnn , :  count:7  textCnt:7
. в случай , если :  count:7  textCnt:7
аварийный остановка двигатель , и :  count:7  textCnt:7
это заявил в интервью агентство :  count:7  textCnt:7
, в котор говорюсь , :  count:7  textCnt:7
. с другой сторона , :  count:7  textCnt:6
второй ступень , произошёл аварийный :  count:7  textCnt:7
запас топливо для двигатель ориентация :  count:7  textCnt:7
. с такой заявление выступил :  count:7  textCnt:7
. я думаю , что :  count:7  textCnt:7
, передаю итар тасс . :  count:7  textCnt:7
, сообщаю независимый газета . :  count:7  textCnt:7
в пресс релиз на сайт :  count:7  textCnt:7
сообщил в центр управление полёт :  count:7  textCnt:7
. пру это , по :  count:7  textCnt:7
сообщаю риа новость . с :  count:7  textCnt:7
. к такой вывод пришёл :  count:7  textCnt:7
сообщаю информационный агентство риа новость :  count:7  textCnt:7
. исследование показал , что :  count:7  textCnt:7
класс молния м с военный :  count:7  textCnt:7
4 , 5 миллиард год :  count:7  textCnt:7
. однако , по слово :  count:7  textCnt:7
, который , по мнение :  count:6  textCnt:5
. по мнение специалист , :  count:6  textCnt:6
скорость для путешествие к сатурн :  count:6  textCnt:6
для путешествие к сатурн . :  count:6  textCnt:6
геннадий падалка и майкл финк :  count:6  textCnt:6
сатурн . лето 1999 год :  count:6  textCnt:6
декабрь 2000 год достиг юпитер :  count:6  textCnt:6
азот и метан . по :  count:6  textCnt:6
раз пролетел мимо земля , :  count:6  textCnt:6
год . тогда погиб весь :  count:6  textCnt:6
центр подготовка космонавт имя гагарин :  count:6  textCnt:6
информация сайт bbc news , :  count:6  textCnt:6
, пишу в понедельник газета :  count:6  textCnt:6
российский войско в закавказье полковник :  count:6  textCnt:6
, состоящий в основное из :  count:6  textCnt:6
. тогда погиб весь семь :  count:6  textCnt:6
московский временю с космодром байконур :  count:6  textCnt:6
, сообщаю space . com :  count:6  textCnt:6
лето 1999 год аппарат последний :  count:6  textCnt:6
и , в частность , :  count:6  textCnt:6
есть запущен в 1997 год :  count:6  textCnt:6
земля , а в декабрь :  count:6  textCnt:6
в открытый космос . в :  count:6  textCnt:6
. по информация сайт bbc :  count:6  textCnt:6
, заявил в интервью агентство :  count:6  textCnt:6
достаточный скорость для путешествие к :  count:6  textCnt:6
станция , сообщаю риа новость :  count:6  textCnt:6
а также попытался получить более :  count:6  textCnt:6
. он пришёлся обогнуть земля :  count:6  textCnt:6
набрать достаточный скорость для путешествие :  count:6  textCnt:6
, опубликованный в журнал nature :  count:6  textCnt:6
распространил заявление , в котор :  count:6  textCnt:5
в ирак и афганистан , :  count:6  textCnt:6
. как сообщаю msnbc , :  count:6  textCnt:6
, сообщаю defense news . :  count:6  textCnt:6
сергей крикалев и джон филлипс :  count:6  textCnt:6
работающий на мкс с октябрь :  count:6  textCnt:6
сообщаю space . com . :  count:6  textCnt:6
сообщаю агентство associated press . :  count:6  textCnt:6
космический войско рф юрий шаргин :  count:6  textCnt:6
. он пояснил , что :  count:6  textCnt:6
nasa и европейский космический агентство :  count:6  textCnt:6
45 по московский временю . :  count:6  textCnt:6
пришёлся обогнуть земля и венера :  count:6  textCnt:6
экипаж международный космический станция мкс :  count:6  textCnt:6
два выход в открытый космос :  count:6  textCnt:6
обогнуть земля и венера , :  count:6  textCnt:6
, в том число , :  count:6  textCnt:6
назад , в 1997 год :  count:6  textCnt:6
земля и венера , чтобы :  count:6  textCnt:6
1999 год аппарат последний раз :  count:6  textCnt:6
, сообщаюсь на сайт nasa :  count:6  textCnt:6
1997 год . он пришёлся :  count:6  textCnt:6
участник антитеррористический операция в афганистан :  count:6  textCnt:6
в то же время , :  count:6  textCnt:6
в открытый космос , сообщаю :  count:6  textCnt:6
официальный представитель цуп валерий лындин :  count:6  textCnt:6
стартовал с космодром плесецк в :  count:6  textCnt:6
привести к том , что :  count:6  textCnt:6
, в 1997 год . :  count:6  textCnt:6
. в настоящее время , :  count:6  textCnt:6
планет за предел солнечный система :  count:6  textCnt:6
в уватский район тюменский область :  count:6  textCnt:6
экспедиция на международный космический станция :  count:6  textCnt:6
международный космический станция , сообщаю :  count:6  textCnt:6
он пришёлся обогнуть земля и :  count:6  textCnt:6
попытался получить более подробный информация :  count:6  textCnt:6
в центр управление полёт . :  count:6  textCnt:6
путешествие к сатурн . лето :  count:6  textCnt:6
в июль 2004 год . :  count:6  textCnt:6
с космодром кура в французский :  count:6  textCnt:6
последний раз пролетел мимо земля :  count:6  textCnt:6
. по слово иванов , :  count:6  textCnt:5
цунами в юго восточный азия :  count:6  textCnt:6
, работающий на мкс с :  count:6  textCnt:6
также попытался получить более подробный :  count:6  textCnt:6
, сообщаю abc news . :  count:6  textCnt:6
состоящий в основное из азот :  count:6  textCnt:6
к сатурн . лето 1999 :  count:6  textCnt:6
сообщаюсь на сайт nasa . :  count:6  textCnt:6
командующий группа российский войско в :  count:6  textCnt:6
по мнение учёный , именно :  count:6  textCnt:6
тот пора , пока не :  count:6  textCnt:6
официальный представитель роскосмос вячеслав давиденко :  count:6  textCnt:6
в 1997 год . он :  count:6  textCnt:6
. по слово представитель nasa :  count:6  textCnt:6
сообщаюсь в пресс релиз на :  count:6  textCnt:6
, по весь видимость , :  count:6  textCnt:6
год аппарат последний раз пролетел :  count:6  textCnt:6
статья , опубликованный в журнал :  count:6  textCnt:6
в течение два неделя . :  count:6  textCnt:6
он есть изучать магнитный пол :  count:6  textCnt:6
информационный агентство риа новость , :  count:6  textCnt:6
подняться на высота 100 километр :  count:6  textCnt:6
. лето 1999 год аппарат :  count:6  textCnt:6
венера , чтобы набрать достаточный :  count:6  textCnt:6
в декабрь 2000 год достиг :  count:6  textCnt:6
упал в район полигон тобольск :  count:6  textCnt:5
, а также попытался получить :  count:6  textCnt:6
рф сергей иван заявил , :  count:6  textCnt:6
по информация сайт bbc news :  count:6  textCnt:6
и метан . по мнение :  count:6  textCnt:6
. как сообщаю информационный агентство :  count:6  textCnt:5
закон о воинский обязанность и :  count:6  textCnt:4
чтобы набрать достаточный скорость для :  count:6  textCnt:6
два с половина год , :  count:6  textCnt:6
, чтобы набрать достаточный скорость :  count:6  textCnt:6
метан . по мнение учёный :  count:6  textCnt:6
, а в декабрь 2000 :  count:6  textCnt:6
мимо земля , а в :  count:6  textCnt:6
в закавказье полковник владимир купарадзе :  count:6  textCnt:6
агентство по аэронавтика и космический :  count:6  textCnt:6
, как сообщаюсь ранее , :  count:6  textCnt:6
аппарат последний раз пролетел мимо :  count:6  textCnt:6
оборона рф сергей иван заявил :  count:6  textCnt:6
columbia в февраль 2003 год :  count:6  textCnt:6
. в частность , в :  count:6  textCnt:6
информация о том , что :  count:6  textCnt:6
10 й экспедиция на мкс :  count:6  textCnt:6
как сообщаю итар тасс , :  count:6  textCnt:6
а в декабрь 2000 год :  count:6  textCnt:6
2000 год достиг юпитер . :  count:6  textCnt:6
руководитель полетом российский сегмент мкс :  count:6  textCnt:6
войско в закавказье полковник владимир :  count:6  textCnt:6
год назад , в 1997 :  count:6  textCnt:6
пролетел мимо земля , а :  count:6  textCnt:6
и венера , чтобы набрать :  count:6  textCnt:6
год . он пришёлся обогнуть :  count:6  textCnt:6
получить более подробный информация о :  count:6  textCnt:6
возбудил уголовный дело по факт :  count:6  textCnt:6
пять с половина час . :  count:6  textCnt:6
заместитель командующий группа российский войско :  count:6  textCnt:6
миллион год назад , сообщаю :  count:5  textCnt:5
, 5 миллиард доллар . :  count:5  textCnt:5
постоянный радиальный истечение плазма солнечный :  count:5  textCnt:5
как сша приостановил использование свой :  count:5  textCnt:5
шаттл из за катастрофа челнок :  count:5  textCnt:5
талибан , а дальнейший его :  count:5  textCnt:5
использование не предусматриваюсь никакой соглашение :  count:5  textCnt:5
. по мнение эксперт , :  count:5  textCnt:5
воинский обязанность и военный служба :  count:5  textCnt:4
по его слово , есть :  count:5  textCnt:5
, чтобы участник антитеррористический операция :  count:5  textCnt:5
в март 1999 год . :  count:5  textCnt:5
александр калери и майкл фоэлом :  count:5  textCnt:5
того , как стал известно :  count:5  textCnt:5
сша приостановил использование свой шаттл :  count:5  textCnt:5
, сообщаю washington post . :  count:5  textCnt:5
зенит 3sl с платформа одиссей :  count:5  textCnt:5
, 3 миллиард доллар . :  count:5  textCnt:5
, сообщаюсь на сайт британский :  count:5  textCnt:5
уж возбудил уголовный дело по :  count:5  textCnt:5
huygens совершил посадка на поверхность :  count:5  textCnt:5
есть предоставлен американец лишь на :  count:5  textCnt:5
институт медико биологический проблема . :  count:5  textCnt:5
. по оценка учёный , :  count:5  textCnt:5
старт существую с 1995 год :  count:5  textCnt:5
с февраль 2003 год , :  count:5  textCnt:5
приостановил использование свой шаттл из :  count:5  textCnt:5
атмосфера земля около четырех миллиард :  count:5  textCnt:5
с космодром байконур стартовал ракета :  count:5  textCnt:5
по его слово , это :  count:5  textCnt:5
одиссей состоялся в март 1999 :  count:5  textCnt:5
, а дальнейший его использование :  count:5  textCnt:5
семь человек , находившийся на :  count:5  textCnt:5
в статья , опубликованный в :  count:5  textCnt:5
проект морской старт существую с :  count:5  textCnt:5
. в течение это временю :  count:5  textCnt:5
указываю на то , что :  count:5  textCnt:5
учёный , именно такой есть :  count:5  textCnt:5
. первый демонстрационный запуск ракета :  count:5  textCnt:5
за катастрофа челнок columbia 1 :  count:5  textCnt:5
