Filtered by stability with threshold: 0.1
[, согласно ]   count:61  textsCount:57  stability:0.09836065573770492
[, такой ]   count:60  textsCount:59  stability:0.06666666666666667
[тысяча человек ]   count:60  textsCount:50  stability:0.1
[, пру ]   count:58  textsCount:57  stability:0.034482758620689655
[. новый ]   count:57  textsCount:55  stability:0.07017543859649122
[в один ]   count:56  textsCount:54  stability:0.05357142857142857
[исследование , ]   count:56  textsCount:49  stability:0.08928571428571429
[. из ]   count:56  textsCount:56  stability:0.05357142857142857
[, один ]   count:56  textsCount:53  stability:0.03571428571428571
[шаттл discovery ]   count:56  textsCount:44  stability:0.07142857142857142
[. тем ]   count:55  textsCount:54  stability:0.09090909090909091
[метр , ]   count:54  textsCount:50  stability:0.07407407407407407
[процент . ]   count:54  textsCount:44  stability:0.09259259259259259
[должен быть ]   count:53  textsCount:51  stability:0.09433962264150944
[. сейчас ]   count:53  textsCount:50  stability:0.03773584905660377
[проект , ]   count:53  textsCount:48  stability:0.09433962264150944
[. один ]   count:53  textsCount:51  stability:0.03773584905660377
[работа по ]   count:52  textsCount:49  stability:0.09615384615384616
[самолёт , ]   count:52  textsCount:45  stability:0.057692307692307696
[. я ]   count:52  textsCount:41  stability:0.038461538461538464
[, причём ]   count:51  textsCount:47  stability:0.09803921568627451
[на вооружение ]   count:51  textsCount:42  stability:0.09803921568627451
[уж в ]   count:51  textsCount:48  stability:0.0784313725490196
[. запуск ]   count:51  textsCount:48  stability:0.0784313725490196
[космический челнок ]   count:51  textsCount:41  stability:0.09803921568627451
[материал , ]   count:50  textsCount:44  stability:0.08
[, за ]   count:50  textsCount:47  stability:0.06
[тысяча километр ]   count:50  textsCount:45  stability:0.06
[. несмотря ]   count:50  textsCount:50  stability:0.06
[. она ]   count:50  textsCount:46  stability:0.04
[технология , ]   count:50  textsCount:47  stability:0.1
[звезда , ]   count:50  textsCount:38  stability:0.06
[изменение климат ]   count:49  textsCount:34  stability:0.061224489795918366
[, говорюсь ]   count:49  textsCount:44  stability:0.04081632653061224
[. а ]   count:49  textsCount:47  stability:0.08163265306122448
[. последний ]   count:49  textsCount:48  stability:0.061224489795918366
[, для ]   count:48  textsCount:48  stability:0.041666666666666664
[. первое ]   count:48  textsCount:48  stability:0.0625
[. среди ]   count:47  textsCount:47  stability:0.0425531914893617
[вещество , ]   count:46  textsCount:43  stability:0.06521739130434782
[на баз ]   count:46  textsCount:43  stability:0.06521739130434782
[. у ]   count:45  textsCount:40  stability:0.06666666666666667
[в воздух ]   count:45  textsCount:41  stability:0.06666666666666667
[, являюсь ]   count:45  textsCount:43  stability:0.044444444444444446
[, предназначенный ]   count:45  textsCount:42  stability:0.06666666666666667
[. специалист ]   count:44  textsCount:44  stability:0.06818181818181818
[животное , ]   count:44  textsCount:34  stability:0.06818181818181818
[с сторона ]   count:44  textsCount:42  stability:0.045454545454545456
[с российский ]   count:43  textsCount:35  stability:0.09302325581395349
[3 , ]   count:43  textsCount:39  stability:0.09302325581395349
